Gap,Area,Perim,Ar2Per,CircleArea,Circularity,Volume,VolSArea,RadLength,RadBearing
16,749,169,4.4,2283.3,0.33,2576,4509,38.6,4
22,441,120,3.7,1138.7,0.39,846,1014,24.8,7
19,1004,169,5.9,2267.5,0.44,2628,3332,32.9,22
10,65,35,1.9,96.1,0.68,245,539,7.3,23
30,257,90,2.9,638.4,0.40,864,1021,15.9,59
4,62,40,1.5,129.1,0.48,78,286,9.8,65
20,90,41,2.2,130.9,0.69,40,126,9.0,74
9,478,136,3.5,1461.1,0.33,1701,2470,24.6,82
26,57,31,1.8,76.1,0.75,54,140,6.1,108
14,722,148,4.9,1749.2,0.41,1715,2615,24.3,110
17,204,66,3.1,347.8,0.59,699,1004,16.2,150
3,488,116,4.2,1063.1,0.46,3060,2847,20.9,154
5,54,42,1.3,139.9,0.39,5,39,9.7,164
27,641,157,4.1,1951.1,0.33,2283,2102,21.7,182
18,73,40,1.8,128.6,0.57,19,122,6.9,202
23,1049,188,5.6,2822.7,0.37,2376,3639,37.7,203
28,142,87,1.6,603.4,0.24,250,360,15.6,206
24,162,62,2.6,304.1,0.53,688,1178,10.2,208
25,37,25,1.4,51.7,0.71,178,203,5.4,209
21,40,33,1.2,87.5,0.46,2,13,8.4,238
7,144,54,2.7,228.1,0.63,256,611,11.0,277
11,180,65,2.8,337.2,0.54,470,681,12.8,306
1,44,28,1.5,64.2,0.68,354,414,6.2,310
15,124,43,2.9,146.8,0.84,140,464,8.9,310
13,563,132,4.3,1388.6,0.41,1043,2061,22.1,316
29,219,104,2.1,853.5,0.26,241,535,17.2,322
6,44,27,1.6,59.1,0.74,82,246,6.0,323
2,399,95,4.2,724.6,0.55,2179,3528,17.2,328
12,142,72,2.0,410.5,0.35,307,611,12.8,342
8,36,27,1.3,59.0,0.60,221,311,6.4,352